rank,homem,mulher,não-binária
0,trabalho (0.4124),força (0.3849),identidade (0.4117)
1,sol (0.3922),mulher (0.3661),vezes (0.3924)
2,vida (0.3827),sol (0.3602),binária (0.3787)
3,anos (0.3795),pele (0.3564),pessoa (0.3519)
4,terra (0.3781),terra (0.3561),gênero (0.3457)
5,simples (0.3703),olhos (0.3546),força (0.3361)
6,homem (0.3655),cabelos (0.3445),mistura (0.3266)
7,mãos (0.3515),trabalho (0.3384),outras (0.3177)
8,olhos (0.3482),leve (0.3178),sol (0.3151)
9,gente (0.3441),rosto (0.3142),pele (0.3150)
10,camisa (0.3437),história (0.3133),iara (0.3139)
11,calejadas (0.3429),vida (0.3109),peças (0.3023)
12,tempo (0.3410),coque (0.3092),ancestralidade (0.2911)
13,pele (0.3371),anos (0.3072),cultura (0.2888)
14,quase (0.3227),vestido (0.3032),vibrante (0.2857)
15,pouco (0.3217),escuros (0.3024),terra (0.2850)
16,sob (0.3155),histórias (0.3023),roupas (0.2833)
17,histórias (0.3120),forte (0.2992),coloridas (0.2788)
18,história (0.3101),algodão (0.2934),vibrantes (0.2781)
19,grisalhos (0.3077),família (0.2930),voz (0.2775)
20,força (0.3064),sorriso (0.2894),luta (0.2761)
21,bronzeada (0.2994),sabedoria (0.2889),mundo (0.2727)
22,cabelos (0.2973),quase (0.2874),forma (0.2726)
23,forte (0.2970),presos (0.2869),sobre (0.2718)
24,rosto (0.2958),32 (0.2862),beleza (0.2712)
25,sabedoria (0.2922),resiliência (0.2857),camiseta (0.2711)
26,ainda (0.2910),mãos (0.2857),cabelos (0.2709)
27,desbotada (0.2910),avó (0.2846),miçangas (0.2704)
28,nordestino (0.2895),bronzeada (0.2829),energia (0.2699)
29,têmporas (0.2880),cultura (0.2817),lua (0.2687)
30,castanhos (0.2853),castanhos (0.2808),saia (0.2635)
31,sotaque (0.2820),cada (0.2804),refletem (0.2634)
32,algodão (0.2784),tempo (0.2799),olhos (0.2631)
33,grossas (0.2779),simples (0.2773),olhar (0.2616)
34,sorriso (0.2775),sotaque (0.2726),sotaque (0.2604)
35,olhar (0.2755),iara (0.2675),ainda (0.2595)
36,árduo (0.2754),calejadas (0.2650),sinto (0.2587)
37,família (0.2751),longos (0.2633),nordestina (0.2572)
38,contam (0.2727),castanho (0.2612),nome (0.2571)
39,escuros (0.2715),colar (0.2601),27 (0.2568)
40,pra (0.2697),grossos (0.2586),própria (0.2568)
41,dignidade (0.2689),claro (0.2569),arte (0.2562)
