rank,brasileira
0,sol (0.4719)
1,força (0.4510)
2,terra (0.4503)
3,carregar (0.4466)
4,história (0.4413)
5,pele (0.4374)
6,ter (0.4300)
7,cabelo (0.4273)
8,olho (0.4177)
9,trabalho (0.4060)
10,ano (0.3986)
11,vida (0.3941)
12,refletir (0.3908)
13,forte (0.3899)
14,escuro (0.3848)
15,vez (0.3779)
16,revelar (0.3655)
17,bronzear (0.3643)
18,usar (0.3638)
19,mão (0.3600)
20,castanho (0.3596)
21,nordestino (0.3593)
22,rosto (0.3574)
23,quase (0.3567)
24,contar (0.3551)
25,tempo (0.3526)
26,simples (0.3480)
27,sorriso (0.3453)
28,cultura (0.3448)
29,gente (0.3434)
30,sabedoria (0.3391)
31,sotaque (0.3390)
32,algodão (0.3384)
33,identidade (0.3382)
34,profundo (0.3344)
35,olhar (0.3301)
36,algum (0.3301)
37,longo (0.3300)
38,roupa (0.3295)
39,poder (0.3292)
40,leve (0.3290)
41,marcar (0.3290)
42,calejar (0.3278)
43,pouco (0.3264)
44,cada (0.3262)
45,ainda (0.3252)
46,pequeno (0.3249)
47,família (0.3221)
48,grosso (0.3194)
49,ancestral (0.3185)
50,luta (0.3173)
51,sob (0.3172)
52,mulher (0.3171)
53,pessoa (0.3160)
54,dia (0.3158)
55,delicado (0.3131)
56,nome (0.3091)
57,negro (0.3091)
58,tom (0.3079)
59,claro (0.3070)
60,brasileiro (0.3036)
61,outro (0.3031)
62,vibrante (0.3030)
63,fino (0.3013)
64,emoldurar (0.3011)
65,resiliência (0.3008)
66,todo (0.3006)
67,preto (0.2996)
68,fazer (0.2994)
69,binário (0.2983)
70,natureza (0.2983)
71,fácil (0.2966)
72,geração (0.2965)
73,apesar (0.2960)
74,iara (0.2935)
75,marca (0.2926)
76,traço (0.2925)
77,coque (0.2910)
78,colorir (0.2905)
79,fio (0.2882)
80,falar (0.2877)
81,avó (0.2873)
82,sobre (0.2867)
83,sentir (0.2861)
84,povo (0.2860)
85,discreto (0.2860)
86,homem (0.2853)
87,cor (0.2850)
88,região (0.2846)
89,sempre (0.2841)
90,resistência (0.2832)
91,beleza (0.2831)
92,branco (0.2796)
93,desbotar (0.2793)
94,mistura (0.2788)
95,mundo (0.2776)
96,ver (0.2773)
97,rio (0.2772)
98,nascer (0.2762)
99,lutar (0.2746)
100,bem (0.2724)
101,expressão (0.2720)
102,raiz (0.2713)
103,próprio (0.2711)
104,chamar (0.2708)
105,aprender (0.2705)
106,interior (0.2688)
107,rico (0.2688)
108,conhecer (0.2675)
109,gostar (0.2671)
110,confortável (0.2663)
111,cheio (0.2660)
112,céu (0.2643)
113,bom (0.2634)
114,corpo (0.2633)
115,palavra (0.2630)
116,ancestralidade (0.2627)
117,orgulho (0.2625)
118,colar (0.2622)
119,prender (0.2617)
120,jeito (0.2609)
121,crespo (0.2607)
122,misturar (0.2607)
123,indígeno (0.2587)
124,roça (0.2585)
125,voz (0.2578)
126,tudo (0.2573)
127,crescer (0.2572)
128,saber (0.2559)
129,vestido (0.2557)
130,camisa (0.2557)
131,criar (0.2557)
132,aqui (0.2554)
133,intenso (0.2552)
134,firme (0.2549)
135,levemente (0.2547)
136,herdar (0.2541)
137,mostrar (0.2540)
138,sarda (0.2525)
139,pescoço (0.2524)
140,constante (0.2511)
141,pra (0.2510)
142,postura (0.2509)
143,suave (0.2508)
144,deixar (0.2508)
145,comunidade (0.2505)
146,contrastar (0.2501)
147,penetrante (0.2492)
148,cheiro (0.2490)
149,gênero (0.2487)
150,dente (0.2486)
151,sertão (0.2477)
152,onde (0.2476)
153,meio (0.2467)
154,si (0.2467)
155,cidade (0.2463)
156,trabalhar (0.2460)
157,salpicar (0.2456)
158,grisalho (0.2455)
159,café (0.2455)
160,grande (0.2453)
161,calor (0.2451)
162,árduo (0.2449)
163,miçanga (0.2449)
164,transmitir (0.2449)
165,peça (0.2440)
166,estilo (0.2426)
167,semente (0.2415)
168,tecido (0.2413)
169,guardar (0.2391)
170,herança (0.2389)
171,camiseta (0.2385)
172,silencioso (0.2380)
173,único (0.2376)
174,forma (0.2370)
175,calça (0.2358)
176,saia (0.2351)
177,adornar (0.2345)
178,alma (0.2341)
179,alegria (0.2331)
180,natural (0.2327)
181,abrir (0.2323)
182,acompanhar (0.2322)
183,curto (0.2320)
184,jeans (0.2318)
185,largo (0.2307)
186,azul (0.2304)
187,tão (0.2298)
188,lembrar (0.2298)
189,emanar (0.2297)
190,parte (0.2295)
191,canto (0.2294)
192,dignidade (0.2291)
193,brilho (0.2291)
194,alto (0.2287)
195,viver (0.2287)
196,construir (0.2285)
197,riqueza (0.2277)
198,simplicidade (0.2276)
199,reflexo (0.2273)
200,energia (0.2268)
201,tentar (0.2256)
202,talvez (0.2249)
203,floresta (0.2239)
204,lembrança (0.2235)
205,fé (0.2234)
206,calma (0.2234)
207,inabalável (0.2230)
208,tradição (0.2228)
209,chuva (0.2223)
210,futuro (0.2222)
211,rebelde (0.2217)
212,personalidade (0.2215)
213,amigo (0.2215)
214,expressar (0.2213)
215,coração (0.2212)
216,nordeste (0.2204)
217,depender (0.2198)
218,ensinar (0.2196)
219,serenidade (0.2196)
220,cerrado (0.2195)
221,magro (0.2195)
222,duro (0.2190)
223,movimento (0.2185)
224,escaldante (0.2179)
225,fluido (0.2173)
226,origem (0.2173)
227,tanto (0.2168)
228,sereno (0.2168)
229,embora (0.2165)
230,quanto (0.2161)
231,ritmo (0.2157)
232,prático (0.2156)
233,físico (0.2156)
234,tradicional (0.2147)
235,preso (0.2147)
236,centro (0.2141)
237,enquanto (0.2139)
238,vestar (0.2136)
239,entender (0.2131)
240,expressivo (0.2130)
241,filho (0.2130)
242,linha (0.2125)
243,parecer (0.2122)
244,encaixar (0.2120)
245,lábio (0.2111)
246,esculpir (0.2110)
247,brilhar (0.2110)
248,proteger (0.2106)
249,música (0.2104)
250,desde (0.2104)
251,toque (0.2101)
252,lua (0.2094)
253,infância (0.2092)
254,achar (0.2092)
255,preferir (0.2089)
256,esperança (0.2089)
257,coisa (0.2085)
258,possuir (0.2082)
259,inteligência (0.2077)
260,detalhe (0.2070)
261,palha (0.2064)
262,mar (0.2060)
263,cair (0.2059)
264,livre (0.2053)
265,complexo (0.2050)
266,vermelho (0.2047)
267,encontrar (0.2042)
268,cru (0.2042)
