rank,centro-oestina,nordestina,nortista,sudestina,sulista
0,centro (0.4781),nordestino (0.5002),nortista (0.4451),sudeste (0.4215),sulista (0.4395)
1,oeste (0.4527),nordeste (0.4052),norte (0.4105),sudestino (0.3628),sul (0.4352)
2,cerrado (0.3476),sol (0.3191),floresta (0.3833),poder (0.3434),poder (0.3348)
3,poder (0.3188),força (0.3138),amazônia (0.3627),pessoa (0.3355),identidade (0.3141)
4,pessoa (0.3047),poder (0.3136),região (0.3367),brasileiro (0.3137),ter (0.3141)
5,ter (0.3037),história (0.3129),amazônico (0.3236),ter (0.3121),pessoa (0.3137)
6,sol (0.2933),cultura (0.3030),indígeno (0.3169),identidade (0.3111),brasil (0.3044)
7,forte (0.2903),pessoa (0.3021),poder (0.3168),variar (0.2896),cultura (0.3037)
8,cultura (0.2868),povo (0.3017),cultura (0.3070),cultura (0.2855),história (0.2999)
9,terra (0.2848),forte (0.2915),pessoa (0.3027),social (0.2812),brasileiro (0.2966)
10,oestino (0.2836),identidade (0.2914),natureza (0.3017),paulo (0.2795),gaúcho (0.2850)
11,região (0.2805),pele (0.2909),ter (0.2994),brasil (0.2792),chimarrão (0.2845)
12,identidade (0.2775),alegria (0.2879),identidade (0.2909),pele (0.2786),tradição (0.2791)
13,vida (0.2773),cor (0.2877),povo (0.2871),cabelo (0.2759),outro (0.2747)
14,brasileiro (0.2750),carregar (0.2848),rio (0.2868),história (0.2757),região (0.2724)
15,pele (0.2727),terra (0.2836),pele (0.2828),outro (0.2749),família (0.2707)
16,cabelo (0.2695),ter (0.2834),história (0.2724),indígeno (0.2747),experiência (0.2701)
17,sertanejo (0.2685),sertão (0.2825),forte (0.2719),estilo (0.2685),mulher (0.2688)
18,indígeno (0.2661),beleza (0.2822),cor (0.2675),gênero (0.2685),terra (0.2675)
19,pequi (0.2583),cada (0.2798),brasil (0.2672),experiência (0.2681),social (0.2610)
20,família (0.2550),mulher (0.2782),comunidade (0.2655),diversidade (0.2642),importante (0.2601)
21,outro (0.2542),cabelo (0.2750),cabelo (0.2643),cada (0.2637),gênero (0.2569)
22,natureza (0.2528),vida (0.2707),usar (0.2622),importante (0.2628),pele (0.2541)
23,mulher (0.2528),forró (0.2687),traço (0.2615),forma (0.2611),binário (0.2526)
24,história (0.2521),indígeno (0.2679),vida (0.2596),binário (0.2581),indígeno (0.2511)
25,cada (0.2518),fé (0.2615),importante (0.2592),usar (0.2576),cada (0.2504)
26,variar (0.2516),traço (0.2573),mulher (0.2576),traço (0.2569),descrição (0.2477)
27,traço (0.2511),orgulho (0.2572),diversidade (0.2567),cultural (0.2565),comunidade (0.2473)
28,importante (0.2501),luta (0.2560),cada (0.2545),descrição (0.2561),usar (0.2444)
29,mato (0.2489),esperança (0.2548),força (0.2544),região (0.2550),vida (0.2444)
30,binário (0.2481),importante (0.2536),gênero (0.2542),vida (0.2547),variar (0.2442)
31,roupa (0.2463),usar (0.2526),descrição (0.2535),mulher (0.2538),povo (0.2433)
32,descrição (0.2463),baião (0.2513),brasileiro (0.2529),buscar (0.2536),mundo (0.2431)
33,estilo (0.2462),vibrante (0.2508),ancestral (0.2514),mundo (0.2529),homem (0.2419)
34,cor (0.2455),olho (0.2503),sol (0.2497),ir (0.2525),cabelo (0.2411)
35,castanho (0.2450),resistência (0.2489),local (0.2485),cor (0.2525),sotaque (0.2399)
36,olho (0.2445),brasileiro (0.2488),binário (0.2479),castanho (0.2513),churrasco (0.2394)
37,usar (0.2443),único (0.2475),olho (0.2465),lembrar (0.2490),estereótipo (0.2391)
38,grosso (0.2442),ancestral (0.2468),outro (0.2462),único (0.2465),europeu (0.2388)
39,povo (0.2419),outro (0.2465),carregar (0.2452),tom (0.2444),carregar (0.2388)
40,gênero (0.2415),diversidade (0.2464),terra (0.2451),característica (0.2440),forma (0.2386)
41,diversidade (0.2414),binário (0.2444),variar (0.2431),físico (0.2410),grande (0.2386)
42,arroz (0.2406),variar (0.2435),escuro (0.2417),escuro (0.2406),onde (0.2385)
43,aqui (0.2404),comunidade (0.2428),carimbó (0.2399),janeiro (0.2404),traço (0.2381)
44,tom (0.2402),resiliência (0.2417),sobre (0.2395),homem (0.2379),forte (0.2369)
45,escuro (0.2393),contar (0.2400),culinária (0.2394),olho (0.2378),algum (0.2363)
46,força (0.2381),gente (0.2398),açaí (0.2388),dia (0.2377),crescer (0.2358)
47,claro (0.2376),rosto (0.2383),lembrar (0.2384),depender (0.2363),único (0.2356)
48,físico (0.2367),forma (0.2383),roupa (0.2366),mistura (0.2359),diversidade (0.2341)
49,comunidade (0.2364),roupa (0.2379),fazer (0.2360),diverso (0.2357),lutar (0.2325)
50,lembrar (0.2354),expressão (0.2376),característica (0.2350),preto (0.2356),desafio (0.2302)
51,raiz (0.2342),lutar (0.2374),único (0.2346),povo (0.2351),valorizar (0.2301)
52,campo (0.2338),gênero (0.2369),pará (0.2334),samba (0.2349),cor (0.2292)
53,local (0.2330),sorriso (0.2367),homem (0.2304),aparência (0.2346),todo (0.2290)
54,beleza (0.2324),escuro (0.2367),forma (0.2302),claro (0.2339),nome (0.2282)
55,valorizar (0.2317),tom (0.2335),úmido (0.2297),crescer (0.2326),lembrar (0.2276)
56,comum (0.2316),descrição (0.2333),criar (0.2289),carregar (0.2317),tradicional (0.2274)
57,fazer (0.2312),colorir (0.2328),lutar (0.2286),cidade (0.2312),rio (0.2270)
58,dia (0.2312),homem (0.2327),claro (0.2271),ancestralidade (0.2300),aqui (0.2270)
59,brasil (0.2304),valorizar (0.2322),preto (0.2269),desde (0.2299),sobre (0.2267)
60,sentir (0.2290),todo (0.2296),físico (0.2263),minas (0.2293),força (0.2265)
61,algum (0.2289),futuro (0.2286),tom (0.2262),ancestral (0.2290),criar (0.2265)
62,música (0.2288),castanho (0.2286),orgulho (0.2261),diferente (0.2289),futuro (0.2259)
63,trabalho (0.2284),expressar (0.2283),valorizar (0.2251),todo (0.2286),orgulho (0.2251)
64,preto (0.2282),música (0.2280),beleza (0.2250),individualidade (0.2286),claro (0.2245)
65,carregar (0.2255),lembrar (0.2273),cultural (0.2245),estereótipo (0.2282),buscar (0.2237)
66,vez (0.2248),desafio (0.2263),conexão (0.2244),vez (0.2280),kaingang (0.2228)
67,forma (0.2244),mundo (0.2250),social (0.2239),sempre (0.2278),depender (0.2225)
68,único (0.2239),elu (0.2247),refletir (0.2234),expressão (0.2272),negro (0.2219)
69,culinária (0.2236),celebrar (0.2244),aparência (0.2230),asiático (0.2258),ir (0.2219)
70,gostar (0.2229),crespo (0.2244),aqui (0.2226),onde (0.2257),complexo (0.2208)
71,aparência (0.2225),culinária (0.2243),direito (0.2222),família (0.2250),racismo (0.2208)
72,mundo (0.2225),vez (0.2221),mundo (0.2216),apenas (0.2244),olho (0.2197)
73,ir (0.2218),voz (0.2218),expressão (0.2215),sobre (0.2240),sentir (0.2196)
74,tradição (0.2209),claro (0.2212),tacacá (0.2214),pardo (0.2239),ancestralidade (0.2194)
75,crescer (0.2193),sabedoria (0.2204),nascer (0.2206),gerais (0.2236),próprio (0.2192)
76,característica (0.2193),característica (0.2203),próprio (0.2206),roupa (0.2223),enfrentar (0.2188)
77,experiência (0.2190),enfrentar (0.2194),ancestralidade (0.2190),ok (0.2217),aparência (0.2187)
78,ancestral (0.2181),trabalho (0.2181),todo (0.2189),música (0.2209),aprender (0.2182)
79,refletir (0.2177),raiz (0.2171),voz (0.2184),educação (0.2205),sol (0.2179)
80,próprio (0.2173),dia (0.2170),futuro (0.2182),desafio (0.2203),luta (0.2178)
81,cultural (0.2170),direito (0.2169),estereótipo (0.2181),próprio (0.2200),roupa (0.2178)
82,mistura (0.2164),refletir (0.2168),peixe (0.2175),lutar (0.2193),música (0.2173)
83,conhecer (0.2159),pra (0.2166),desafio (0.2171),comunidade (0.2191),vez (0.2164)
84,tradicional (0.2156),maracatu (0.2163),leve (0.2171),algum (0.2188),raiz (0.2160)
85,coração (0.2144),próprio (0.2157),rosto (0.2170),valorizar (0.2183),fazer (0.2158)
86,rosto (0.2141),ancestralidade (0.2155),tradicional (0.2164),elu (0.2172),ancestral (0.2157)
87,nome (0.2133),africano (0.2154),castanho (0.2160),nome (0.2155),construir (0.2157)
