rank,homem,mulher,não-binária
0,homem (0.4831),mulher (0.5231),pessoa (0.5158)
1,poder (0.4214),cultura (0.3791),binário (0.4774)
2,ter (0.3976),refletir (0.3651),identidade (0.4613)
3,região (0.3839),força (0.3583),gênero (0.4239)
4,cultura (0.3755),história (0.3571),diversidade (0.4151)
5,refletir (0.3567),tradição (0.3556),poder (0.3997)
6,vida (0.3523),poder (0.3508),buscar (0.3750)
7,tradição (0.3521),ter (0.3490),expressar (0.3677)
8,pele (0.3496),sempre (0.3488),refletir (0.3595)
9,história (0.3449),cabelo (0.3460),forma (0.3532)
10,típico (0.3439),pele (0.3435),mundo (0.3517)
11,sempre (0.3406),região (0.3349),tradicional (0.3495)
12,valorizar (0.3343),vida (0.3309),sempre (0.3423)
13,cabelo (0.3306),natureza (0.3250),elu (0.3394)
14,natureza (0.3288),valorizar (0.3248),espaço (0.3375)
15,terra (0.3241),sol (0.3199),único (0.3370)
16,brasil (0.3201),fazer (0.3195),cultural (0.3357)
17,claro (0.3175),comunidade (0.3191),cultura (0.3338)
18,cultural (0.3156),olho (0.3168),estilo (0.3338)
19,povo (0.3135),terra (0.3148),onde (0.3328)
20,local (0.3117),raiz (0.3147),todo (0.3322)
21,música (0.3114),tom (0.3108),inclusão (0.3282)
22,rico (0.3113),brasileiro (0.3095),sobre (0.3281)
23,tom (0.3101),rico (0.3091),misturar (0.3230)
24,escuro (0.3076),carregar (0.3070),experiência (0.3207)
25,brasileiro (0.3032),longo (0.3032),ter (0.3188)
26,sol (0.3030),redor (0.3029),social (0.3149)
27,fazer (0.3011),brasil (0.3009),brasil (0.3133)
28,olho (0.2975),típico (0.3007),arte (0.3093)
29,parte (0.2940),sorriso (0.2981),expressão (0.3081)
30,forte (0.2937),cultural (0.2975),maneira (0.3078)
31,amigo (0.2896),forte (0.2975),desafiar (0.3067)
32,comunidade (0.2893),expressivo (0.2951),promover (0.3063)
33,alguém (0.2889),onde (0.2951),autêntico (0.3045)
34,indígeno (0.2885),buscar (0.2945),vibrante (0.3035)
35,carregar (0.2880),povo (0.2939),norma (0.3034)
36,profundo (0.2869),vibrante (0.2934),rico (0.3031)
37,leve (0.2866),local (0.2931),elemento (0.3011)
38,além (0.2853),colorir (0.2918),indígeno (0.2992)
39,onde (0.2848),claro (0.2912),conexão (0.2991)
40,raiz (0.2833),cheio (0.2912),respeito (0.2982)
41,castanho (0.2831),beleza (0.2908),roupa (0.2981)
42,dia (0.2812),profundo (0.2884),sentir (0.2975)
43,médio (0.2797),leve (0.2872),cor (0.2946)
44,roupa (0.2795),dia (0.2835),celebrar (0.2923)
45,gostar (0.2791),diversidade (0.2821),pele (0.2907)
46,festa (0.2791),transmitir (0.2811),cabelo (0.2896)
47,bom (0.2775),conexão (0.2803),questão (0.2887)
48,traço (0.2770),acolhedor (0.2784),história (0.2884)
49,diversidade (0.2756),cada (0.2784),redor (0.2881)
50,ar (0.2750),parte (0.2780),comunidade (0.2850)
51,culinária (0.2739),vez (0.2759),fazer (0.2849)
52,jeito (0.2732),indígeno (0.2757),natureza (0.2835)
53,atividade (0.2731),roupa (0.2752),outro (0.2829)
54,frequentemente (0.2731),voz (0.2723),contemporâneo (0.2821)
55,usar (0.2730),além (0.2719),voz (0.2820)
56,vez (0.2711),sobre (0.2715),tradição (0.2816)
57,marcar (0.2704),mistura (0.2714),região (0.2813)
58,clima (0.2690),castanho (0.2700),local (0.2812)
59,camiseta (0.2687),muitas (0.2699),valorizar (0.2805)
60,característica (0.2684),geração (0.2691),alex (0.2804)
61,confortável (0.2679),luta (0.2691),brasileiro (0.2803)
62,nordestino (0.2673),sabedoria (0.2689),mistura (0.2799)
63,conexão (0.2668),desafio (0.2683),acessório (0.2798)
64,estatura (0.2661),ondular (0.2677),música (0.2786)
65,livre (0.2660),música (0.2671),trazer (0.2785)
66,sobre (0.2660),acreditar (0.2654),identificar (0.2764)
67,redor (0.2657),culinária (0.2650),parte (0.2750)
68,crescer (0.2654),futuro (0.2648),influência (0.2746)
69,transmitir (0.2646),alegria (0.2647),tom (0.2742)
70,muitas (0.2635),lutar (0.2632),cada (0.2713)
71,estilo (0.2619),crescer (0.2628),conectar (0.2670)
72,mistura (0.2618),cair (0.2614),crescer (0.2670)
73,família (0.2610),nordestino (0.2604),acolhedor (0.2666)
74,natural (0.2581),família (0.2593),luta (0.2665)
75,compartilhar (0.2569),rosto (0.2568),viver (0.2651)
76,quente (0.2560),compartilhar (0.2562),inclusivo (0.2640)
77,camisa (0.2554),calor (0.2555),raiz (0.2622)
78,sorriso (0.2546),trazer (0.2552),vida (0.2622)
79,jeam (0.2543),determinação (0.2550),acreditar (0.2619)
80,acolhedor (0.2538),festa (0.2537),usar (0.2618)
81,buscar (0.2533),ombro (0.2516),diferente (0.2616)
82,apreciar (0.2527),revelar (0.2509),quanto (0.2595)
83,revelar (0.2513),jeito (0.2506),dia (0.2584)
84,algodão (0.2510),vestar (0.2499),profundo (0.2584)
85,sotaque (0.2509),resiliência (0.2494),individualidade (0.2577)
86,curto (0.2506),luz (0.2485),confortável (0.2577)
87,viver (0.2491),marcar (0.2482),tanto (0.2559)
88,identidade (0.2478),identidade (0.2482),explorar (0.2554)
89,casual (0.2477),aprender (0.2475),peça (0.2552)
90,centro (0.2476),escuro (0.2455),ambiente (0.2525)
91,falar (0.2476),possuir (0.2441),pessoal (0.2507)
92,cidade (0.2470),cidade (0.2433),aceitação (0.2496)
93,influência (0.2469),igualdade (0.2431),autenticidade (0.2488)
94,prato (0.2465),ambiente (0.2423),além (0.2474)
95,ambiente (0.2464),natural (0.2421),respeitar (0.2471)
96,sabedoria (0.2459),grande (0.2419),vez (0.2470)
97,comum (0.2452),frequentemente (0.2411),optar (0.2467)
98,variar (0.2449),riqueza (0.2411),vivência (0.2460)
99,expressivo (0.2448),dança (0.2405),liberdade (0.2458)
100,orgulho (0.2447),orgulho (0.2400),direito (0.2457)
101,familiar (0.2444),direito (0.2398),busca (0.2452)
102,vestir (0.2441),familiar (0.2398),ver (0.2441)
103,possuir (0.2439),usar (0.2397),compartilhar (0.2439)
104,geração (0.2433),falar (0.2396),lutar (0.2413)
105,rosto (0.2422),gostar (0.2395),criar (0.2410)
106,oeste (0.2416),herança (0.2393),diálogo (0.2403)
107,aprender (0.2398),social (0.2385),sociedade (0.2401)
108,herança (0.2391),cercar (0.2379),empatia (0.2393)
109,descontrair (0.2385),celebrar (0.2376),encaixar (0.2388)
110,rio (0.2381),brilhar (0.2370),toque (0.2384)
111,hospitalidade (0.2380),quente (0.2369),visibilidade (0.2380)
112,cada (0.2356),adornar (0.2367),riqueza (0.2359)
113,marcante (0.2345),amigo (0.2364),colorir (0.2359)
114,calor (0.2343),traço (0.2357),inspirar (0.2354)
115,dança (0.2337),mundo (0.2355),estampa (0.2353)
116,sul (0.2316),enfrentar (0.2349),nordestino (0.2347)
117,crespo (0.2316),importância (0.2346),presença (0.2346)
118,desafio (0.2308),ancestral (0.2343),variar (0.2346)
119,característico (0.2303),prato (0.2342),aparência (0.2345)
120,convivência (0.2302),volumoso (0.2340),olhar (0.2342)
121,bem (0.2300),contar (0.2337),pluralidade (0.2336)
122,maneira (0.2299),outro (0.2337),categoria (0.2328)
123,liso (0.2297),centro (0.2333),beleza (0.2319)
124,resultado (0.2296),viver (0.2333),resistência (0.2319)
125,conversa (0.2295),cor (0.2324),conversa (0.2319)
126,trazer (0.2295),blusa (0.2317),herança (0.2307)
127,contar (0.2275),vestir (0.2312),masculino (0.2306)
128,incluir (0.2274),influência (0.2309),aprender (0.2303)
129,geralmente (0.2262),representar (0.2297),fluido (0.2300)
130,acreditar (0.2257),estilo (0.2281),frequentemente (0.2296)
131,respeito (0.2252),preservação (0.2277),carregar (0.2296)
132,futuro (0.2241),personalidade (0.2275),claro (0.2295)
133,churrasco (0.2235),pequeno (0.2251),importância (0.2293)
134,nascer (0.2234),brilho (0.2246),envolver (0.2289)
135,luta (0.2234),passar (0.2241),personalidade (0.2289)
136,vibrante (0.2232),resistência (0.2240),cheio (0.2287)
137,cheio (0.2230),contagiante (0.2240),olho (0.2285)
138,cercar (0.2230),novo (0.2236),ancestralidade (0.2269)
139,floresta (0.2227),conectar (0.2234),alguém (0.2268)
140,relação (0.2226),mão (0.2231),abraçar (0.2250)
141,expressão (0.2224),ancestralidade (0.2231),gostar (0.2245)
142,experiência (0.2222),estampa (0.2217),feminino (0.2240)
143,especialmente (0.2220),vestido (0.2212),jeito (0.2234)
144,pessoa (0.2218),nascer (0.2209),jornada (0.2232)
145,ancestral (0.2209),suave (0.2209),diverso (0.2225)
146,descontraído (0.2208),adorar (0.2204),representar (0.2220)
147,pouco (0.2207),conhecimento (0.2198),centro (0.2217)
148,riqueza (0.2200),variar (0.2193),sorriso (0.2203)
149,norte (0.2198),sul (0.2187),curiosidade (0.2194)
