rank,brasileira
0,poder (0.5399)
1,cultura (0.4822)
2,refletir (0.4778)
3,ter (0.4700)
4,pessoa (0.4546)
5,sempre (0.4489)
6,identidade (0.4378)
7,região (0.4345)
8,diversidade (0.4297)
9,história (0.4273)
10,tradição (0.4272)
11,pele (0.4234)
12,cabelo (0.4138)
13,cultural (0.4053)
14,vida (0.4047)
15,valorizar (0.4000)
16,buscar (0.3989)
17,natureza (0.3985)
18,brasil (0.3969)
19,rico (0.3910)
20,onde (0.3875)
21,mulher (0.3835)
22,fazer (0.3820)
23,tom (0.3769)
24,comunidade (0.3760)
25,brasileiro (0.3756)
26,local (0.3723)
27,sobre (0.3652)
28,indígeno (0.3616)
29,raiz (0.3600)
30,terra (0.3594)
31,música (0.3587)
32,redor (0.3584)
33,roupa (0.3565)
34,típico (0.3537)
35,conexão (0.3535)
36,olho (0.3534)
37,parte (0.3530)
38,homem (0.3529)
39,claro (0.3511)
40,binário (0.3502)
41,estilo (0.3485)
42,sol (0.3480)
43,profundo (0.3465)
44,vibrante (0.3440)
45,carregar (0.3439)
46,dia (0.3414)
47,mundo (0.3385)
48,mistura (0.3370)
49,povo (0.3369)
50,força (0.3337)
51,além (0.3328)
52,acolhedor (0.3301)
53,crescer (0.3282)
54,tradicional (0.3281)
55,vez (0.3276)
56,forte (0.3253)
57,cada (0.3246)
58,social (0.3202)
59,experiência (0.3196)
60,forma (0.3194)
61,sorriso (0.3194)
62,usar (0.3190)
63,leve (0.3148)
64,trazer (0.3148)
65,nordestino (0.3128)
66,luta (0.3126)
67,transmitir (0.3115)
68,compartilhar (0.3101)
69,maneira (0.3101)
70,influência (0.3097)
71,acreditar (0.3094)
72,todo (0.3087)
73,gênero (0.3086)
74,expressar (0.3080)
75,viver (0.3067)
76,jeito (0.3063)
77,cheio (0.3057)
78,celebrar (0.3055)
79,muitas (0.3055)
80,expressivo (0.3055)
81,gostar (0.3048)
82,frequentemente (0.3047)
83,castanho (0.3034)
84,ambiente (0.3031)
85,voz (0.3029)
86,respeito (0.3015)
87,confortável (0.3015)
88,culinária (0.3006)
89,cor (0.3003)
90,expressão (0.2982)
91,beleza (0.2979)
92,outro (0.2976)
93,escuro (0.2967)
94,traço (0.2964)
95,misturar (0.2945)
96,marcar (0.2932)
97,aprender (0.2920)
98,longo (0.2913)
99,festa (0.2911)
100,único (0.2910)
101,amigo (0.2905)
102,alguém (0.2894)
103,sabedoria (0.2893)
104,natural (0.2881)
105,herança (0.2881)
106,colorir (0.2873)
107,sentir (0.2873)
108,elemento (0.2863)
109,arte (0.2858)
110,possuir (0.2855)
111,centro (0.2854)
112,desafio (0.2853)
113,variar (0.2839)
114,riqueza (0.2830)
115,revelar (0.2827)
116,lutar (0.2819)
117,vestir (0.2794)
118,promover (0.2776)
119,espaço (0.2773)
120,cidade (0.2766)
