rank,brasileira
0,poder (0.5728)
1,ter (0.4947)
2,cultural (0.4892)
3,região (0.4808)
4,pessoa (0.4734)
5,brasil (0.4589)
6,identidade (0.4584)
7,tradição (0.4452)
8,refletir (0.4417)
9,rico (0.4386)
10,cultura (0.4328)
11,diversidade (0.4154)
12,história (0.4148)
13,indígeno (0.4123)
14,pele (0.4031)
15,brasileiro (0.4026)
16,vida (0.3896)
17,comunidade (0.3867)
18,onde (0.3846)
19,sempre (0.3825)
20,único (0.3776)
21,cabelo (0.3714)
22,música (0.3702)
23,tradicional (0.3668)
24,local (0.3663)
25,crescer (0.3648)
26,gênero (0.3639)
27,carregar (0.3620)
28,mulher (0.3590)
29,influência (0.3560)
30,claro (0.3556)
31,binário (0.3556)
32,raiz (0.3547)
33,parte (0.3545)
34,valorizar (0.3539)
35,típico (0.3515)
36,terra (0.3514)
37,herança (0.3449)
38,olho (0.3395)
39,mundo (0.3393)
40,social (0.3392)
41,característica (0.3368)
42,culinária (0.3359)
43,mistura (0.3322)
44,tom (0.3306)
45,natureza (0.3305)
46,variar (0.3299)
47,expressão (0.3274)
48,experiência (0.3270)
49,estilo (0.3230)
50,homem (0.3211)
51,vibrante (0.3203)
52,forte (0.3199)
53,nordestino (0.3190)
54,celebrar (0.3179)
55,centro (0.3176)
56,povo (0.3167)
57,sul (0.3162)
58,ancestral (0.3160)
59,conexão (0.3135)
60,profundo (0.3125)
61,buscar (0.3125)
62,geração (0.3120)
63,cada (0.3087)
64,dia (0.3083)
65,viver (0.3081)
66,orgulho (0.3081)
67,fazer (0.3073)
68,traço (0.3055)
69,outro (0.3054)
70,diverso (0.3045)
71,festa (0.3040)
72,sotaque (0.3033)
73,vez (0.3003)
74,incluir (0.3001)
75,pessoal (0.3001)
76,além (0.2996)
77,desafio (0.2982)
78,castanho (0.2965)
79,asiático (0.2964)
80,maneira (0.2954)
81,quanto (0.2949)
82,forma (0.2946)
83,oeste (0.2935)
84,tanto (0.2935)
85,africano (0.2916)
86,sol (0.2911)
87,força (0.2910)
88,ir (0.2907)
89,natural (0.2896)
90,sudeste (0.2890)
91,norte (0.2887)
92,sobre (0.2872)
93,todo (0.2863)
94,preto (0.2861)
95,gostar (0.2849)
96,participar (0.2846)
97,resiliência (0.2840)
98,aprender (0.2840)
99,rio (0.2835)
100,acolhedor (0.2831)
101,expressar (0.2816)
102,respeito (0.2816)
103,alex (0.2805)
104,aparência (0.2799)
105,prato (0.2798)
106,conhecer (0.2796)
107,desde (0.2796)
108,possuir (0.2794)
109,escuro (0.2793)
110,elemento (0.2787)
111,criar (0.2775)
112,ambiente (0.2775)
113,apreciar (0.2756)
114,talvez (0.2753)
115,usar (0.2747)
116,roupa (0.2745)
117,encontrar (0.2739)
118,descrição (0.2733)
119,dança (0.2729)
120,resistência (0.2727)
121,regional (0.2719)
122,origem (0.2715)
123,grande (0.2712)
124,pardo (0.2710)
125,muitas (0.2709)
126,comum (0.2704)
127,redor (0.2703)
128,imaginar (0.2689)
129,importante (0.2682)
130,frequentemente (0.2681)
131,paisagem (0.2677)
132,misturar (0.2674)
133,influenciar (0.2674)
134,cidade (0.2656)
135,trazer (0.2656)
136,urbano (0.2651)
137,promover (0.2649)
138,adorar (0.2639)
139,família (0.2639)
140,riqueza (0.2638)
141,cor (0.2636)
142,diferente (0.2636)
143,direito (0.2634)
144,enfrentar (0.2633)
145,contemporâneo (0.2631)
146,amarelo (0.2631)
147,culturalmente (0.2613)
148,nordeste (0.2611)
149,característico (0.2604)
150,beleza (0.2589)
151,liso (0.2581)
152,tempo (0.2575)
153,falar (0.2575)
154,profundamente (0.2561)
155,vir (0.2545)
156,espírito (0.2543)
157,moldar (0.2536)
158,marcar (0.2535)
159,moderno (0.2530)
160,ver (0.2525)
161,lembrar (0.2520)
162,tapeçaria (0.2516)
163,físico (0.2512)
164,alguém (0.2489)
165,branco (0.2487)
166,meio (0.2485)
167,através (0.2484)
168,conectar (0.2480)
169,ritmo (0.2479)
170,voz (0.2473)
171,país (0.2451)
172,compartilhar (0.2450)
173,floresta (0.2439)
174,questão (0.2437)
175,manter (0.2430)
176,próprio (0.2428)
177,futuro (0.2426)
178,sabor (0.2425)
179,enquanto (0.2420)
180,perspectiva (0.2420)
181,área (0.2413)
182,passar (0.2406)
183,sabedoria (0.2404)
184,celebração (0.2403)
185,arte (0.2396)
186,importância (0.2390)
187,lutar (0.2390)
188,presença (0.2389)
189,sentir (0.2383)
190,familiar (0.2381)
191,sulista (0.2375)
192,personalidade (0.2366)
193,respeitar (0.2362)
194,si (0.2358)
195,igualdade (0.2351)
196,vasto (0.2332)
197,nascer (0.2329)
198,sudestino (0.2327)
199,língua (0.2324)
200,atividade (0.2323)
201,calor (0.2312)
202,nortista (0.2309)
203,europeia (0.2302)
204,educação (0.2301)
205,cheio (0.2301)
206,europeu (0.2295)
207,bastante (0.2293)
208,explorar (0.2290)
209,desafiar (0.2286)
210,novo (0.2285)
211,acreditar (0.2278)
212,norma (0.2275)
213,alegria (0.2267)
214,conhecimento (0.2260)
215,inclusão (0.2260)
216,comunitário (0.2259)
217,cotidiano (0.2252)
218,cerrado (0.2251)
219,elu (0.2239)
220,especialmente (0.2238)
221,resiliente (0.2235)
222,livre (0.2232)
223,moreno (0.2228)
224,hospitalidade (0.2227)
225,aspecto (0.2224)
226,espaço (0.2223)
227,português (0.2221)
228,luta (0.2213)
229,preservação (0.2212)
230,expressivo (0.2212)
231,depender (0.2209)
232,contar (0.2202)
233,senso (0.2202)
234,algum (0.2201)
235,contribuir (0.2196)
236,presente (0.2193)
237,caloroso (0.2192)
238,aqui (0.2189)
239,sociedade (0.2188)
240,abrir (0.2184)
241,prática (0.2182)
242,sorriso (0.2178)
243,apenas (0.2175)
244,estado (0.2171)
245,especial (0.2168)
246,etnia (0.2166)
247,indivíduo (0.2163)
248,movimento (0.2160)
249,ancestralidade (0.2153)
250,inclusivo (0.2134)
251,bom (0.2130)
252,modo (0.2129)
253,coração (0.2128)
254,incorporar (0.2128)
255,valor (0.2124)
256,contexto (0.2120)
257,inspirar (0.2119)
258,amigo (0.2117)
259,histórico (0.2110)
260,antepassado (0.2109)
261,negro (0.2098)
262,envolvido (0.2090)
263,envolver (0.2086)
264,descrever (0.2085)
265,navegar (0.2085)
266,étnico (0.2081)
267,acessório (0.2075)
268,crespo (0.2072)
269,vivência (0.2071)
270,longo (0.2066)
271,comigo (0.2066)
272,representar (0.2060)
273,ascendência (0.2059)
274,cercar (0.2059)
275,evento (0.2056)
276,trabalhar (0.2054)
277,transmitir (0.2054)
278,autêntico (0.2047)
279,interess (0.2031)
280,combinar (0.2027)
281,quente (0.2025)
282,justiça (0.2021)
283,peça (0.2016)
284,forró (0.2015)
285,provavelmente (0.2015)
286,marcante (0.2014)
287,preservar (0.2014)
